Entity,Code,Year,Laboratory (%),Surveillance (%),Chemical events (%),Zoonotic events (%),Points of entry (%),Risk communication (%),Radiation emergencies (%),Legislation and Financing (%),National Health Emergency Framework (%),Zoonotic events and the human–animal interface (%),IHR Coordination and National IHR Focal Point Functions (%),Coordination and National Focal Point communications (%),"National legislation, policy and financing (%)",Health Service Provision (%),Radionuclear emergencies (%),Risk Communication (%),Chemical events (%),Human resources (%),Food safety (%)
Saudi Arabia,SAU,2010,100,80,92,100,,70,,,,,,100,100,,66,,,,
Saudi Arabia,SAU,2011,100,100,100,100,,57,,,,,,100,100,,100,,,,
Saudi Arabia,SAU,2012,100,90,100,100,,100,,,,,,100,100,,100,,,,
Saudi Arabia,SAU,2013,100,100,100,100,,100,,,,,,100,100,,100,,,,
Saudi Arabia,SAU,2014,100,95,100,100,,100,,,,,,100,100,,92,,,,
Saudi Arabia,SAU,2016,100,100,100,100,,100,,,,,,100,100,,92,,,,
Saudi Arabia,SAU,2017,100,95,100,100,,100,,,,,,100,100,,92,,,,
Saudi Arabia,SAU,2018,,,,,70,,80,73,80,40,70,,,60,,80,80,80,80
Senegal,SEN,2011,50,65,33,22,,29,,,,,,53,0,,8,,,,
Senegal,SEN,2012,66,70,31,22,,0,,,,,,53,0,,7,,,,
Senegal,SEN,2017,43,50,69,56,,43,,,,,,10,50,,69,,,,
Senegal,SEN,2018,,,,,20,,40,60,53,60,70,,,40,,20,40,40,40
Serbia,SRB,2011,0,30,0,11,,0,,,,,,10,25,,0,,,,
Serbia,SRB,2014,59,85,46,56,,43,,,,,,30,75,,69,,,,
Serbia,SRB,2016,55,30,23,100,,43,,,,,,20,25,,38,,,,
Serbia,SRB,2017,55,40,62,100,,43,,,,,,20,25,,38,,,,
Serbia,SRB,2018,,,,,0,,60,87,80,80,80,,,73,,80,80,80,80
Seychelles,SYC,2010,21,41,0,30,,10,,,,,,30,0,,6,,,,
Seychelles,SYC,2011,100,55,50,78,,29,,,,,,20,0,,17,,,,
Seychelles,SYC,2012,86,95,46,78,,0,,,,,,20,0,,21,,,,
Seychelles,SYC,2013,96,95,54,100,,43,,,,,,73,0,,0,,,,
Seychelles,SYC,2014,96,100,54,100,,100,,,,,,100,0,,31,,,,
Seychelles,SYC,2015,91,100,69,100,,100,,,,,,100,75,,23,,,,
Seychelles,SYC,2016,96,100,92,100,,100,,,,,,100,100,,46,,,,
Seychelles,SYC,2017,100,100,92,100,,100,,,,,,100,100,,23,,,,
Seychelles,SYC,2018,,,,,40,,20,73,20,60,20,,,53,,60,20,20,80
Sierra Leone,SLE,2010,14,65,0,7,,20,,,,,,58,50,,0,,,,
Sierra Leone,SLE,2011,90,85,17,89,,57,,,,,,73,25,,50,,,,
Sierra Leone,SLE,2013,96,90,23,78,,86,,,,,,53,50,,38,,,,
Sierra Leone,SLE,2014,100,95,15,100,,100,,,,,,70,75,,38,,,,
Sierra Leone,SLE,2016,39,85,69,44,,43,,,,,,27,75,,69,,,,
Sierra Leone,SLE,2017,76,90,46,100,,100,,,,,,100,100,,54,,,,
Sierra Leone,SLE,2018,,,,,40,,20,33,53,20,50,,,33,,80,20,20,20
Singapore,SGP,2010,100,100,100,76,,100,,,,,,100,100,,86,,,,
Singapore,SGP,2011,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2012,100,100,100,100,,100,,,,,,100,100,,86,,,,
Singapore,SGP,2013,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2014,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2015,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2016,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2017,100,100,100,100,,100,,,,,,100,100,,92,,,,
Singapore,SGP,2018,,,,,90,,80,100,80,80,100,,,93,,100,80,100,80
Slovakia,SVK,2010,74,60,85,76,,10,,,,,,71,75,,86,,,,
Slovakia,SVK,2011,80,90,58,100,,71,,,,,,100,100,,75,,,,
Slovakia,SVK,2012,86,100,77,89,,100,,,,,,100,100,,50,,,,
Slovakia,SVK,2013,100,100,83,100,,100,,,,,,100,100,,92,,,,
Slovakia,SVK,2014,100,100,100,78,,86,,,,,,100,100,,77,,,,
Slovakia,SVK,2015,100,100,92,100,,86,,,,,,100,100,,77,,,,
Slovakia,SVK,2016,100,100,100,100,,57,,,,,,100,100,,85,,,,
Slovakia,SVK,2017,100,100,100,100,,57,,,,,,100,100,,85,,,,
Slovakia,SVK,2018,,,,,80,,60,100,80,60,70,,,67,,60,60,60,60
Slovenia,SVN,2010,92,56,78,84,,70,,,,,,40,75,,93,,,,
Slovenia,SVN,2011,90,85,75,89,,57,,,,,,20,100,,58,,,,
Slovenia,SVN,2012,43,85,69,100,,14,,,,,,30,100,,64,,,,
Slovenia,SVN,2013,41,72,100,100,,0,,,,,,20,100,,82,,,,
Slovenia,SVN,2014,47,95,69,100,,43,,,,,,53,100,,77,,,,
Slovenia,SVN,2015,87,75,69,89,,57,,,,,,73,100,,77,,,,
Slovenia,SVN,2016,88,80,69,78,,57,,,,,,73,100,,77,,,,
Slovenia,SVN,2017,96,80,69,100,,57,,,,,,90,100,,77,,,,
Slovenia,SVN,2018,,,,,70,,100,87,80,80,90,,,87,,60,80,60,100
Solomon Islands,SLB,2012,57,75,0,44,,43,,,,,,63,0,,21,,,,
Solomon Islands,SLB,2013,66,80,15,67,,71,,,,,,90,0,,31,,,,
Solomon Islands,SLB,2014,90,85,15,56,,86,,,,,,56,25,,31,,,,
Solomon Islands,SLB,2015,90,85,15,56,,86,,,,,,56,25,,31,,,,
Solomon Islands,SLB,2017,90,85,15,56,,86,,,,,,57,25,,31,,,,
Solomon Islands,SLB,2018,,,,,20,,20,33,33,20,50,,,33,,20,40,40,20
Somalia,SOM,2013,29,70,0,22,,14,,,,,,10,0,,8,,,,
Somalia,SOM,2014,0,65,0,0,,0,,,,,,10,0,,0,,,,
Somalia,SOM,2017,63,95,0,89,,14,,,,,,27,25,,0,,,,
Somalia,SOM,2018,,,,,20,,20,20,20,60,50,,,53,,20,20,20,20
South Africa,ZAF,2010,94,68,14,92,,90,,,,,,83,75,,20,,,,
South Africa,ZAF,2011,90,90,92,100,,71,,,,,,73,100,,83,,,,
South Africa,ZAF,2012,90,50,92,100,,100,,,,,,73,75,,93,,,,
South Africa,ZAF,2013,91,80,77,100,,100,,,,,,73,75,,77,,,,
South Africa,ZAF,2014,100,100,100,100,,100,,,,,,100,100,,100,,,,
South Africa,ZAF,2015,100,100,100,100,,100,,,,,,100,100,,100,,,,
South Africa,ZAF,2017,90,85,100,100,,100,,,,,,100,100,,100,,,,
South Africa,ZAF,2018,,,,,60,,80,80,40,100,50,,,53,,20,80,60,80
South Korea,KOR,2010,87,84,42,69,,80,,,,,,73,50,,66,,,,
South Korea,KOR,2012,100,100,100,100,,100,,,,,,100,100,,100,,,,
South Korea,KOR,2013,100,100,100,100,,100,,,,,,100,100,,100,,,,
South Korea,KOR,2014,96,100,100,100,,100,,,,,,100,100,,100,,,,
South Korea,KOR,2017,100,100,100,100,,100,,,,,,90,100,,100,,,,
South Korea,KOR,2018,,,,,90,,100,93,100,100,80,,,100,,80,80,100,100
South Sudan,SSD,2013,29,75,0,0,,71,,,,,,46,100,,0,,,,
South Sudan,SSD,2014,37,75,0,0,,71,,,,,,63,100,,0,,,,
South Sudan,SSD,2015,51,75,0,0,,57,,,,,,80,75,,0,,,,
South Sudan,SSD,2017,66,80,0,78,,29,,,,,,57,0,,0,,,,
South Sudan,SSD,2018,,,,,30,,20,20,40,60,40,,,47,,40,20,40,20
Spain,ESP,2010,81,88,14,61,,60,,,,,,50,0,,0,,,,
Spain,ESP,2011,100,85,50,100,,43,,,,,,40,0,,75,,,,
Spain,ESP,2012,81,95,92,100,,43,,,,,,83,100,,100,,,,
Spain,ESP,2013,76,95,0,0,,57,,,,,,83,100,,0,,,,
Spain,ESP,2014,86,100,69,100,,86,,,,,,100,100,,100,,,,
Spain,ESP,2015,86,95,77,100,,86,,,,,,100,100,,100,,,,
Spain,ESP,2016,100,100,92,100,,86,,,,,,100,100,,100,,,,
Spain,ESP,2017,100,100,92,100,,86,,,,,,100,100,,100,,,,
Spain,ESP,2018,,,,,80,,80,93,87,80,100,,,100,,60,80,80,80
Sri Lanka,LKA,2010,66,75,0,92,,80,,,,,,50,75,,0,,,,
Sri Lanka,LKA,2011,80,100,8,100,,57,,,,,,10,100,,0,,,,
Sri Lanka,LKA,2012,71,100,23,100,,86,,,,,,63,100,,14,,,,
Sri Lanka,LKA,2013,41,85,23,100,,86,,,,,,63,100,,15,,,,
Sri Lanka,LKA,2014,81,80,15,100,,86,,,,,,90,75,,15,,,,
Sri Lanka,LKA,2015,86,80,23,100,,71,,,,,,100,75,,15,,,,
Sri Lanka,LKA,2016,86,95,46,100,,86,,,,,,100,100,,54,,,,
Sri Lanka,LKA,2017,58,95,62,56,,57,,,,,,100,100,,62,,,,
Sri Lanka,LKA,2018,,,,,50,,40,60,33,20,40,,,47,,60,40,60,20
Sudan,SDN,2010,73,52,14,46,,20,,,,,,48,75,,40,,,,
Sudan,SDN,2011,50,55,17,67,,0,,,,,,46,0,,33,,,,
Sudan,SDN,2012,49,85,15,100,,14,,,,,,56,0,,50,,,,
Sudan,SDN,2013,50,90,46,100,,57,,,,,,100,50,,38,,,,
Sudan,SDN,2014,61,80,54,100,,71,,,,,,100,50,,62,,,,
Sudan,SDN,2017,51,95,46,100,,71,,,,,,100,50,,54,,,,
Sudan,SDN,2018,,,,,30,,40,60,93,80,90,,,53,,80,40,60,80
Suriname,SUR,2011,90,25,33,89,,29,,,,,,66,50,,8,,,,
Suriname,SUR,2012,90,35,54,56,,43,,,,,,66,50,,0,,,,
Suriname,SUR,2013,100,85,62,67,,43,,,,,,83,50,,0,,,,
Suriname,SUR,2014,100,90,62,67,,71,,,,,,83,50,,0,,,,
Suriname,SUR,2015,86,90,62,67,,71,,,,,,83,50,,0,,,,
Suriname,SUR,2016,86,90,62,78,,71,,,,,,83,50,,0,,,,
Suriname,SUR,2017,86,90,54,100,,86,,,,,,83,50,,0,,,,
Suriname,SUR,2018,,,,,100,,20,80,87,80,90,,,53,,80,40,80,80
Swaziland,SWZ,2010,52,48,14,84,,80,,,,,,56,25,,0,,,,
Swaziland,SWZ,2011,80,90,17,67,,57,,,,,,53,50,,8,,,,
Swaziland,SWZ,2012,56,95,15,67,,57,,,,,,26,0,,7,,,,
Swaziland,SWZ,2013,67,65,8,56,,86,,,,,,36,0,,8,,,,
Swaziland,SWZ,2014,90,80,31,89,,57,,,,,,36,100,,8,,,,
Swaziland,SWZ,2015,100,55,15,78,,57,,,,,,46,50,,8,,,,
Swaziland,SWZ,2017,100,95,54,100,,71,,,,,,100,100,,0,,,,
Swaziland,SWZ,2018,,,,,30,,20,40,33,20,30,,,33,,40,60,40,40
Sweden,SWE,2010,92,87,78,84,,90,,,,,,83,100,,100,,,,
Sweden,SWE,2011,100,95,100,100,,100,,,,,,100,100,,100,,,,
Sweden,SWE,2012,100,95,100,100,,100,,,,,,100,100,,100,,,,
Sweden,SWE,2013,96,95,85,100,,100,,,,,,73,100,,92,,,,
Sweden,SWE,2014,96,95,85,100,,100,,,,,,73,100,,92,,,,
Sweden,SWE,2015,96,95,85,100,,100,,,,,,73,100,,92,,,,
Sweden,SWE,2016,96,95,92,100,,100,,,,,,73,100,,92,,,,
Sweden,SWE,2017,96,95,92,100,,100,,,,,,73,100,,92,,,,
Sweden,SWE,2018,,,,,100,,100,100,80,100,100,,,93,,80,80,80,80
Switzerland,CHE,2010,100,80,92,76,,90,,,,,,66,100,,80,,,,
Switzerland,CHE,2011,100,75,100,100,,71,,,,,,100,100,,83,,,,
Switzerland,CHE,2012,100,90,100,100,,86,,,,,,100,100,,100,,,,
Switzerland,CHE,2013,80,90,100,100,,86,,,,,,100,100,,100,,,,
Switzerland,CHE,2014,80,90,100,100,,100,,,,,,100,100,,100,,,,
Switzerland,CHE,2015,100,90,100,100,,86,,,,,,100,100,,100,,,,
Switzerland,CHE,2016,100,95,100,100,,86,,,,,,100,100,,100,,,,
Switzerland,CHE,2017,100,90,100,100,,86,,,,,,100,100,,100,,,,
Syria,SYR,2010,88,48,71,69,,60,,,,,,20,50,,0,,,,
Syria,SYR,2011,80,50,67,56,,57,,,,,,36,50,,0,,,,
Syria,SYR,2012,96,70,46,67,,29,,,,,,53,50,,71,,,,
Syria,SYR,2013,90,85,46,67,,43,,,,,,53,25,,85,,,,
Syria,SYR,2014,90,95,46,78,,43,,,,,,63,50,,85,,,,
Syria,SYR,2017,90,50,38,100,,43,,,,,,43,50,,69,,,,
Syria,SYR,2018,,,,,80,,80,80,53,80,90,,,80,,80,80,80,40
Tajikistan,TJK,2011,30,95,83,100,,100,,,,,,100,100,,92,,,,
Tajikistan,TJK,2012,34,95,77,100,,100,,,,,,90,100,,79,,,,
Tajikistan,TJK,2014,96,85,100,100,,100,,,,,,100,100,,100,,,,
Tajikistan,TJK,2015,91,90,92,100,,100,,,,,,100,50,,100,,,,
Tajikistan,TJK,2018,,,,,30,,60,53,80,80,40,,,60,,60,40,60,60
Tanzania,TZA,2011,60,45,17,67,,43,,,,,,20,50,,42,,,,
Tanzania,TZA,2012,53,50,31,67,,57,,,,,,20,50,,50,,,,
Tanzania,TZA,2013,69,75,69,56,,57,,,,,,40,50,,54,,,,
Tanzania,TZA,2014,77,80,69,56,,57,,,,,,66,50,,54,,,,
Tanzania,TZA,2015,69,75,69,56,,57,,,,,,57,75,,62,,,,
Tanzania,TZA,2017,78,45,62,78,,71,,,,,,80,75,,62,,,,
Tanzania,TZA,2018,,,,,40,,40,53,47,60,60,,,40,,60,40,20,60
Thailand,THA,2010,83,52,57,61,,50,,,,,,100,50,,6,,,,
Thailand,THA,2011,100,85,92,89,,100,,,,,,100,100,,58,,,,
Thailand,THA,2012,100,85,31,89,,71,,,,,,90,100,,64,,,,
Thailand,THA,2013,96,85,100,100,,86,,,,,,100,100,,85,,,,
Thailand,THA,2014,100,85,100,100,,100,,,,,,90,100,,100,,,,
Thailand,THA,2016,100,85,100,100,,100,,,,,,90,100,,100,,,,
Thailand,THA,2017,100,85,100,100,,100,,,,,,80,100,,100,,,,
Thailand,THA,2018,,,,,70,,80,53,60,100,90,,,87,,100,80,80,80
Timor,TLS,2010,39,52,0,61,,50,,,,,,26,50,,0,,,,
Timor,TLS,2011,40,40,0,78,,57,,,,,,30,25,,0,,,,
Timor,TLS,2012,37,50,0,67,,57,,,,,,46,50,,0,,,,
Timor,TLS,2013,41,70,31,78,,57,,,,,,63,50,,0,,,,
Timor,TLS,2014,96,85,54,78,,100,,,,,,70,75,,0,,,,
Timor,TLS,2015,100,90,54,78,,100,,,,,,70,75,,0,,,,
Timor,TLS,2016,100,90,54,78,,100,,,,,,70,75,,0,,,,
Timor,TLS,2017,100,95,54,78,,100,,,,,,100,100,,0,,,,
Timor,TLS,2018,,,,,80,,20,60,27,20,70,,,53,,60,20,20,40
Togo,TGO,2010,21,32,0,15,,0,,,,,,10,0,,0,,,,
Togo,TGO,2011,40,90,0,44,,0,,,,,,36,0,,0,,,,
Togo,TGO,2013,67,90,23,67,,0,,,,,,83,0,,8,,,,
Togo,TGO,2014,80,95,54,89,,14,,,,,,90,50,,23,,,,
Togo,TGO,2015,86,100,46,100,,57,,,,,,100,50,,23,,,,
Togo,TGO,2017,80,100,38,89,,86,,,,,,83,50,,23,,,,
Togo,TGO,2018,,,,,40,,20,27,40,20,30,,,20,,20,20,20,40
Tonga,TON,2010,39,68,14,92,,90,,,,,,100,100,,13,,,,
Tonga,TON,2011,50,80,8,100,,86,,,,,,83,25,,0,,,,
Tonga,TON,2012,25,65,8,100,,71,,,,,,100,100,,0,,,,
Tonga,TON,2013,96,100,8,100,,100,,,,,,100,100,,0,,,,
Tonga,TON,2018,,,,,20,,80,60,60,20,50,,,67,,80,0,40,80
Trinidad and Tobago,TTO,2010,45,43,35,69,,90,,,,,,83,50,,26,,,,
Trinidad and Tobago,TTO,2012,77,80,46,89,,71,,,,,,56,50,,57,,,,
Trinidad and Tobago,TTO,2013,81,95,54,89,,71,,,,,,40,50,,77,,,,
Trinidad and Tobago,TTO,2014,81,95,62,89,,71,,,,,,56,50,,77,,,,
Trinidad and Tobago,TTO,2015,81,95,62,89,,71,,,,,,56,50,,77,,,,
Trinidad and Tobago,TTO,2016,82,95,62,78,,86,,,,,,57,50,,77,,,,
Trinidad and Tobago,TTO,2017,78,70,69,78,,86,,,,,,63,50,,92,,,,
Trinidad and Tobago,TTO,2018,,,,,40,,20,53,40,20,100,,,80,,40,60,20,40
Tunisia,TUN,2011,70,75,67,89,,57,,,,,,90,75,,58,,,,
Tunisia,TUN,2012,49,85,31,89,,43,,,,,,100,75,,50,,,,
Tunisia,TUN,2013,39,90,77,89,,43,,,,,,80,75,,38,,,,
Tunisia,TUN,2014,47,95,77,89,,86,,,,,,80,75,,38,,,,
Tunisia,TUN,2016,62,100,62,78,,14,,,,,,63,75,,69,,,,
Tunisia,TUN,2017,53,85,54,89,,29,,,,,,47,75,,38,,,,
Tunisia,TUN,2018,,,,,60,,40,60,67,80,70,,,67,,60,60,60,60
Turkey,TUR,2010,76,15,50,53,,30,,,,,,40,75,,100,,,,
Turkey,TUR,2012,100,65,69,89,,57,,,,,,100,75,,100,,,,
Turkey,TUR,2014,96,60,69,89,,57,,,,,,73,75,,92,,,,
Turkey,TUR,2017,100,65,54,89,,86,,,,,,100,75,,100,,,,
Turkey,TUR,2018,,,,,90,,60,100,60,80,70,,,87,,40,60,60,60
Turkmenistan,TKM,2011,100,85,92,89,,43,,,,,,100,50,,50,,,,
Turkmenistan,TKM,2014,83,85,92,100,,57,,,,,,100,50,,69,,,,
Turkmenistan,TKM,2018,,,,,80,,40,60,73,100,70,,,67,,60,60,60,60
Tuvalu,TUV,2012,100,100,85,78,,100,,,,,,100,100,,57,,,,
Tuvalu,TUV,2013,100,60,82,78,,86,,,,,,83,100,,54,,,,
Tuvalu,TUV,2015,100,75,77,89,,86,,,,,,100,100,,54,,,,
Tuvalu,TUV,2017,69,85,38,11,,86,,,,,,83,50,,0,,,,
Tuvalu,TUV,2018,,,,,50,,0,80,93,20,30,,,67,,60,100,80,20
Uganda,UGA,2010,81,68,7,69,,70,,,,,,55,0,,0,,,,
Uganda,UGA,2011,60,65,58,89,,100,,,,,,100,50,,8,,,,
Uganda,UGA,2012,86,75,8,67,,71,,,,,,70,25,,0,,,,
Uganda,UGA,2013,100,80,38,100,,100,,,,,,100,100,,31,,,,
Uganda,UGA,2017,100,60,62,56,,71,,,,,,53,50,,69,,,,
Uganda,UGA,2018,,,,,20,,40,47,67,40,50,,,53,,0,80,80,20
Ukraine,UKR,2015,100,100,100,100,,100,,,,,,100,100,,92,,,,
Ukraine,UKR,2017,66,65,54,67,,0,,,,,,30,75,,69,,,,
Ukraine,UKR,2018,,,,,20,,80,100,60,80,90,,,53,,60,100,80,80
United Arab Emirates,ARE,2010,69,41,0,38,,50,,,,,,66,75,,46,,,,
United Arab Emirates,ARE,2011,40,70,58,67,,43,,,,,,63,50,,67,,,,
United Arab Emirates,ARE,2012,96,70,54,67,,43,,,,,,63,50,,93,,,,
United Arab Emirates,ARE,2013,100,90,100,100,,100,,,,,,100,75,,100,,,,
United Arab Emirates,ARE,2014,100,80,100,100,,100,,,,,,100,100,,100,,,,
United Arab Emirates,ARE,2015,100,80,100,100,,100,,,,,,100,100,,100,,,,
United Arab Emirates,ARE,2016,100,80,100,100,,100,,,,,,100,100,,100,,,,
United Arab Emirates,ARE,2017,100,90,100,100,,100,,,,,,100,100,,100,,,,
United Arab Emirates,ARE,2018,,,,,80,,100,100,100,100,100,,,100,,100,100,60,100
United Kingdom,GBR,2016,96,85,92,100,,100,,,,,,90,100,,100,,,,
United Kingdom,GBR,2017,96,90,92,100,,100,,,,,,90,100,,100,,,,
United Kingdom,GBR,2018,,,,,40,,100,100,100,100,90,,,100,,100,80,100,100
United States,USA,2010,77,96,92,61,,100,,,,,,75,75,,86,,,,
United States,USA,2011,50,100,92,78,,100,,,,,,100,75,,92,,,,
United States,USA,2012,60,100,100,100,,100,,,,,,100,100,,93,,,,
United States,USA,2013,50,100,100,100,,100,,,,,,100,100,,100,,,,
United States,USA,2014,60,100,100,100,,100,,,,,,100,100,,100,,,,
United States,USA,2015,60,100,100,100,,100,,,,,,100,100,,100,,,,
United States,USA,2016,60,100,100,100,,100,,,,,,100,100,,100,,,,
United States,USA,2017,100,100,100,100,,100,,,,,,100,100,,100,,,,
United States,USA,2018,,,,,90,,80,100,100,80,100,,,100,,100,80,60,100
Uruguay,URY,2013,71,100,69,100,,100,,,,,,83,100,,62,,,,
Uruguay,URY,2015,56,95,69,100,,100,,,,,,100,100,,62,,,,
Uruguay,URY,2016,60,95,69,100,,71,,,,,,100,100,,62,,,,
Uruguay,URY,2017,56,95,77,100,,100,,,,,,100,100,,62,,,,
Uruguay,URY,2018,,,,,80,,80,100,93,80,90,,,80,,100,60,80,80
Uzbekistan,UZB,2011,100,90,100,100,,43,,,,,,100,100,,92,,,,
Uzbekistan,UZB,2014,91,85,92,100,,86,,,,,,46,100,,100,,,,
Uzbekistan,UZB,2018,,,,,0,,40,47,53,60,30,,,73,,60,40,40,0
Vanuatu,VUT,2010,7,16,14,0,,0,,,,,,30,0,,0,,,,
Vanuatu,VUT,2012,49,30,0,0,,0,,,,,,0,0,,0,,,,
Vanuatu,VUT,2013,96,95,46,0,,86,,,,,,100,67,,8,,,,
Vanuatu,VUT,2015,81,100,8,0,,43,,,,,,100,50,,0,,,,
Vanuatu,VUT,2017,88,90,0,11,,29,,,,,,50,0,,0,,,,
Vanuatu,VUT,2018,,,,,20,,20,27,53,20,30,,,27,,60,20,40,20
Vatican,VAT,2018,,,,,20,,40,27,40,100,20,,,33,,40,40,20,60
Venezuela,VEN,2011,60,55,42,78,,57,,,,,,73,75,,0,,,,
Venezuela,VEN,2012,90,80,85,100,,86,,,,,,73,25,,86,,,,
Venezuela,VEN,2013,86,90,92,100,,71,,,,,,90,50,,92,,,,
Venezuela,VEN,2014,90,100,92,100,,71,,,,,,90,50,,85,,,,
Venezuela,VEN,2015,90,95,100,100,,86,,,,,,90,100,,85,,,,
Venezuela,VEN,2016,90,95,100,100,,86,,,,,,90,100,,85,,,,
Venezuela,VEN,2017,90,95,100,100,,86,,,,,,90,100,,85,,,,
Venezuela,VEN,2018,,,,,90,,80,73,73,80,90,,,60,,80,40,80,80
Vietnam,VNM,2010,94,51,71,76,,70,,,,,,71,50,,100,,,,
Vietnam,VNM,2011,80,90,0,44,,86,,,,,,100,50,,0,,,,
Vietnam,VNM,2012,56,60,46,100,,14,,,,,,46,50,,79,,,,
Vietnam,VNM,2013,50,80,38,89,,57,,,,,,83,100,,69,,,,
Vietnam,VNM,2014,100,100,100,100,,71,,,,,,100,100,,100,,,,
Vietnam,VNM,2015,100,100,92,100,,100,,,,,,100,100,,100,,,,
Vietnam,VNM,2016,100,100,92,100,,100,,,,,,100,100,,100,,,,
Vietnam,VNM,2017,96,100,85,100,,100,,,,,,100,100,,85,,,,
Vietnam,VNM,2018,,,,,40,,60,87,47,60,80,,,60,,60,60,60,60
World,OWID_WRL,2016,82,87,60,89,,81,,,,,,84,81,,65,,,,
World,OWID_WRL,2017,82,83,56,83,,74,,,,,,78,75,,57,,,,
World,OWID_WRL,2018,,,,,52,,52,62,59,63,67,,,59,,57,50,63,60
Yemen,YEM,2012,81,70,15,78,,29,,,,,,56,75,,0,,,,
Yemen,YEM,2013,46,70,15,100,,0,,,,,,46,75,,0,,,,
Yemen,YEM,2014,86,70,8,100,,0,,,,,,46,75,,0,,,,
Yemen,YEM,2017,86,75,23,100,,0,,,,,,47,75,,0,,,,
Yemen,YEM,2018,,,,,40,,20,47,60,80,40,,,47,,60,20,80,40
Zambia,ZMB,2011,100,65,92,78,,86,,,,,,50,0,,83,,,,
Zambia,ZMB,2012,96,95,77,100,,71,,,,,,83,0,,86,,,,
Zambia,ZMB,2013,100,95,77,100,,100,,,,,,100,100,,85,,,,
Zambia,ZMB,2014,100,100,77,100,,100,,,,,,100,100,,92,,,,
Zambia,ZMB,2017,63,65,62,78,,71,,,,,,63,50,,77,,,,
Zambia,ZMB,2018,,,,,20,,20,40,33,20,40,,,47,,20,20,40,20
Zimbabwe,ZWE,2011,70,95,0,100,,29,,,,,,26,50,,0,,,,
Zimbabwe,ZWE,2014,86,95,31,100,,86,,,,,,56,50,,31,,,,
Zimbabwe,ZWE,2016,90,100,31,67,,71,,,,,,73,100,,46,,,,
Zimbabwe,ZWE,2017,76,95,31,67,,100,,,,,,67,75,,54,,,,
Zimbabwe,ZWE,2018,,,,,20,,40,73,33,80,50,,,40,,60,40,60,80
